question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,subtopic_code,id_prefix,next_seq,prompt_template,gap_count,gap1_options,gap1_correct,gap1_allow_repeat,gap2_options,gap2_correct,gap2_allow_repeat,gap3_options,gap3_correct,gap3_allow_repeat,gap4_options,gap4_correct,gap4_allow_repeat,gap5_options,gap5_correct,gap5_allow_repeat,enforce_unique_across_gaps,explanation
LIST_CGT_REQ_INCORP_003,Capital gains,requirements,Incorporation relief,cloze_list,3,core,Y,incorporation;BADR,assistant_generated,1,INCORP,LIST_CGT_REQ_INCORP,3,Computation reminder: first split total gain into {gap1} and {gap2} components before applying relief claims.,2,"[""BADR-eligible"", ""indexation"", ""exempt""]",BADR-eligible,Y,"[""non-BADR"", ""income tax"", ""SBA""]",non-BADR,Y,,,,,,,,,,Y,"Exam technique: separate BADR-eligible and non-BADR gains first, then apply incorporation relief / BADR logic to the relevant amounts."
LIST_CGT_REQ_INCORP_004,Capital gains,requirements,Incorporation relief,cloze_list,3,core,Y,incorporation;operation,assistant_generated,1,INCORP,LIST_CGT_REQ_INCORP,4,Incorporation relief operates by {gap1} net gains into the {gap2} of shares received from the company.,2,"[""deferring"", ""exempting"", ""rebasing""]",deferring,Y,"[""base cost"", ""market value"", ""issue premium account""]",base cost,Y,,,,,,,,,,Y,The gain is not eliminated; it is deferred by reducing the base cost of shares taken as consideration.
LIST_CGT_REQ_INCORP_005,Capital gains,requirements,Incorporation relief,cloze_list,3,core,Y,incorporation;operation,assistant_generated,1,INCORP,LIST_CGT_REQ_INCORP,5,"Where incorporation relief applies, gains are deferred (possibly only in part) into share base cost, so tax is typically paid when shares are {gap1} or if relief is {gap2} by election.",2,"[""disposed of"", ""issued"", ""subdivided""]",disposed of,Y,"[""disapplied"", ""enhanced"", ""indexed""]",disapplied,Y,,,,,,,,,,Y,Relief is automatic but can be disapplied by election; deferred gains are crystallised later on a relevant disposal.
LIST_CGT_REQ_EISRR_001,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,eis;timing,assistant_generated,1,EISRR,LIST_CGT_REQ_EISRR,1,EIS issue timing for deferral: shares must be issued from {gap1} year before to {gap2} years after the disposal.,2,"[""1"", ""2"", ""3""]",1,Y,"[""3"", ""1"", ""5""]",3,Y,,,,,,,,,,Y,EIS reinvestment relief uses a 1-year-before to 3-years-after issue window.
LIST_CGT_REQ_EISRR_002,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,eis;claim,assistant_generated,1,EISRR,LIST_CGT_REQ_EISRR,2,Claim mechanics: maximum deferred gain is lower of {gap1} and amount specified in the {gap2}; claim deadline is 5 years from 31 January after end of tax year of {gap3}.,3,"[""amount subscribed for EIS shares"", ""annual exempt amount"", ""share disposal proceeds""]",amount subscribed for EIS shares,Y,"[""claim"", ""election to disapply"", ""tax return amendment only""]",claim,Y,"[""share issue"", ""asset disposal"", ""payment date""]",share issue,Y,,,,,,,Y,"Deferral is capped by subscription and claim amount, with the time limit linked to the tax year of EIS share issue."
LIST_CGT_REQ_EISRR_003,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,eis;chargeable_event,assistant_generated,1,EISRR,LIST_CGT_REQ_EISRR,3,"Deferred EIS gain becomes chargeable on events such as: shares {gap1}, investor becomes {gap2} resident within 3 years, or shares cease to be {gap3}.",3,"[""disposed of"", ""bonus issued"", ""rights waived""]",disposed of,Y,"[""non-UK"", ""UK ordinarily"", ""temporarily""]",non-UK,Y,"[""eligible for relief"", ""quoted"", ""preference""]",eligible for relief,Y,,,,,,,Y,"Chargeability events include disposal, relevant residence breaches, and loss of EIS qualifying status."
LIST_CGT_REQ_EISRR_004,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,eis;seis;difference,assistant_generated,1,EISRR,LIST_CGT_REQ_EISRR,4,"Contrast reminder: EIS reinvestment relief {gap1} gains, whereas SEIS reinvestment relief generally {gap2} gains.",2,"[""defers"", ""exempts"", ""rebases""]",defers,Y,"[""exempts"", ""defers"", ""accelerates""]",exempts,Y,,,,,,,,,,Y,Core exam distinction: EIS = deferral; SEIS = exemption (subject to conditions and possible clawback).
LIST_CGT_REQ_EISRR_005,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,eis;withdrawal,assistant_generated,1,EISRR,LIST_CGT_REQ_EISRR,5,"If a chargeability event occurs, EIS deferral relief is effectively {gap1} and the deferred gain is taxed in the year of the {gap2}, not the original disposal year.",2,"[""reversed"", ""increased"", ""banked""]",reversed,Y,"[""event"", ""claim"", ""subscription""]",event,Y,,,,,,,,,,Y,Relief unwinds by bringing back the deferred gain when a trigger event happens.
LIST_CGT_REQ_EISRR_006,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,seis;timing,assistant_generated,1,EISRR,LIST_CGT_REQ_EISRR,6,SEIS timing condition: disposal and qualifying SEIS subscription must be in the {gap1} tax year.,1,"[""same"", ""following"", ""previous""]",same,Y,,,,,,,,,,,,,Y,SEIS reinvestment relief requires matching within the same tax year (subject to specific previous-year treatment rules where relevant).
LIST_CGT_REQ_EISRR_007,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,seis;claim,assistant_generated,1,EISRR,LIST_CGT_REQ_EISRR,7,SEIS claim limits: relief is lower of {gap1} of matched gain and amount specified in the {gap2}; claim time limit is 5 years from 31 January after tax year of share {gap3}.,3,"[""50%"", ""100%"", ""25%""]",0.5,Y,"[""claim"", ""election to disapply"", ""clearance""]",claim,Y,"[""issue"", ""disposal"", ""sale""]",issue,Y,,,,,,,Y,"SEIS reinvestment relief is claim-based, capped at 50% of matched gain and subject to the statutory time limit."
LIST_CGT_REQ_EISRR_008,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,seis;chargeable,assistant_generated,1,EISRR,LIST_CGT_REQ_EISRR,8,"When SEIS relief is withdrawn, a {gap1} gain is treated as arising in the tax year the shares were {gap2}.",2,"[""chargeable"", ""allowable"", ""indexed""]",chargeable,Y,"[""issued"", ""disposed of"", ""acquired by gift""]",issued,Y,,,,,,,,,,Y,Clawback is effected by a deemed chargeable gain in the original issue year.
LIST_CGT_REQ_EISRR_009,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,seis;eis;difference,assistant_generated,1,EISRR,LIST_CGT_REQ_EISRR,9,Difference test: EIS reinvestment relief usually {gap1} gain; SEIS reinvestment relief usually {gap2} gain.,2,"[""defers"", ""exempts"", ""crystallises""]",defers,Y,"[""exempts"", ""defers"", ""re-bases""]",exempts,Y,,,,,,,,,,Y,"SEIS is exemption-based (not deferral-based), unlike EIS."
LIST_CGT_REQ_EISRR_010,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,seis;withdrawal,assistant_generated,1,EISRR,LIST_CGT_REQ_EISRR,10,"Withdrawal rules: disposal within {gap1} years can reduce/withdraw relief; if disposal is not at arm's length, {gap2} of attributable relief is withdrawn.",2,"[""3"", ""2"", ""5""]",3,Y,"[""all"", ""half"", ""none""]",all,Y,,,,,,,,,,Y,SEIS relief can be withdrawn on early disposal; non-arm's-length disposal triggers full withdrawal for those shares.
