question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,mcq_n,ab_n,list_n,pf_n
AB_ITNIC_REQ_EMPSHARESCHEME_032,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|exit3,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_033,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|exit35,user_notes,1,122,168,199,199
AB_ITNIC_REQ_EMPSHARESCHEME_034,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,compare|tax,user_notes,1,122,168,199,199
AB_ITNIC_CALC_DISALLOW_001,Income tax & NIC,calculations,Disallowable trading expenses,cloze_ab,3,core,Y,disallowable;capital,assistant_generated,1,122,168,199,199
AB_ITNIC_CALC_DISALLOW_002,Income tax & NIC,calculations,Disallowable trading expenses,cloze_ab,3,core,Y,disallowable;tax,assistant_generated,1,122,168,199,199
AB_ITNIC_CALC_DISALLOW_003,Income tax & NIC,calculations,Disallowable trading expenses,cloze_ab,3,core,Y,disallowable;depreciation,assistant_generated,1,122,168,199,199
AB_ITNIC_CALC_DISALLOW_004,Income tax & NIC,calculations,Disallowable trading expenses,cloze_ab,3,core,Y,disallowable;fines,assistant_generated,1,122,168,199,199
LIST_ITNIC_REQ_EIS_001,Income tax & NIC,requirements,Tax efficient investments,cloze_list,3,core,Y,eis;seis;vct,notes,1,122,168,199,199
LIST_ITNIC_REQ_EIS_002,Income tax & NIC,requirements,Tax efficient investments,cloze_list,3,core,Y,eis;seis;vct,notes,1,122,168,199,199
LIST_ITNIC_REQ_PSC_001,Income tax & NIC,requirements,Personal service companies and IR35,cloze_list,3,core,Y,ir35;small_entity;deemed_salary,notes,1,122,168,199,199
LIST_ITNIC_REQ_PSC_002,Income tax & NIC,requirements,Personal service companies and IR35,cloze_list,3,core,Y,ir35;medium_large_entity;sds;ddp,notes,1,122,168,199,199
LIST_ITNIC_REQ_SHS_001,Income tax & NIC,requirements,Employee share schemes,cloze_list,3,core,Y,share_options;terminology,notes,1,122,168,199,199
LIST_ITNIC_REQ_SHS_002,Income tax & NIC,requirements,Employee share schemes,cloze_list,3,core,Y,csop;emi;limits,notes,1,122,168,199,199
LIST_ITNIC_REQ_SHS_003,Income tax & NIC,requirements,Employee share schemes,cloze_list,3,core,Y,sip;hold_period;withdrawal,notes,1,122,168,199,199
LIST_CGT_REQ_SPLITYR_001,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|overview,notes_user,1,122,168,199,199
LIST_CGT_REQ_SPLITYR_002,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|leaving,notes_user,1,122,168,199,199
LIST_CGT_REQ_SPLITYR_003,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|live_abroad,notes_user,1,122,168,199,199
LIST_CGT_REQ_SPLITYR_004,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|coming_home,notes_user,1,122,168,199,199
LIST_CGT_REQ_SPLITYR_005,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|coming_work,notes_user,1,122,168,199,199
LIST_CGT_REQ_SPLITYR_006,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|returning,notes_user,1,122,168,199,199
LIST_CGT_REQ_RESDOM_001,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|auto_overseas,notes_user,1,122,168,199,199
LIST_CGT_REQ_RESDOM_002,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|auto_overseas,notes_user,1,122,168,199,199
LIST_CGT_REQ_RESDOM_003,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|auto_uk,notes_user,1,122,168,199,199
LIST_CGT_REQ_RESDOM_004,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|ties,notes_user,1,122,168,199,199
LIST_CGT_REQ_RESDOM_005,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,domicile|types,notes_user,1,122,168,199,199
LIST_CGT_REQ_RESDOM_006,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,deemed_domicile|routes,notes_user,1,122,168,199,199
LIST_IHT_REQ_DEEMDOM_001,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|overview,image_notes,1,122,168,199,199
LIST_IHT_REQ_DEEMDOM_002,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|three_year,image_notes,1,122,168,199,199
LIST_IHT_REQ_DEEMDOM_003,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|fukdi,image_notes,1,122,168,199,199
LIST_IHT_REQ_DEEMDOM_004,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|uk_resident_route,image_notes,1,122,168,199,199
LIST_IHT_REQ_DEEMDOM_005,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|comparison_windows,image_notes,1,122,168,199,199
LIST_IHT_REQ_DEEMDOM_006,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|trigger_time,image_notes,1,122,168,199,199
LIST_IHT_CALC_DTR_001,Inheritance tax,calculations,Double taxation relief,cloze_list,3,core,Y,iht:dtr,notes,1,122,168,199,199
LIST_IHT_CALC_GIFTRESBEN_001,Inheritance tax,calculations,Valuations,cloze_list,3,core,Y,iht:gifts_reservation_benefit,notes,1,122,168,199,199
LIST_ITNIC_CALC_LEASES_001,Income tax & NIC,calculations,Lease premiums,cloze_list,3,core,Y,lease_premium,notes,1,122,168,199,199
LIST_ITNIC_CALC_LEASES_002,Income tax & NIC,calculations,Lease premiums,cloze_list,3,core,Y,lease_premium,notes,1,122,168,199,199
LIST_ITNIC_DEF_BADGES_001,Income tax & NIC,definitions,Badges of trade,cloze_list,3,core,Y,badges;mapping,assistant_generated,1,122,168,199,199
LIST_ITNIC_DEF_BADGES_002,Income tax & NIC,definitions,Badges of trade,cloze_list,3,core,Y,badges;mapping,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_PAYMENT_001,Capital gains,requirements,Payment ,cloze_list,3,core,Y,poa,written,1,122,168,199,199
LIST_CGT_REQ_DEATH_001,Capital gains,requirements,Death,cloze_list,3,core,Y,death,written,1,122,168,199,199
LIST_CGT_REQ_SMALLPARTDISPOSAL_001,Capital gains,requirements,Small part disposals,cloze_list,3,core,Y,small_part_disposals,written,1,122,168,199,199
LIST_CGT_REQ_SMALLPARTDISPOSAL_002,Capital gains,requirements,Small part disposals,cloze_list,3,core,Y,small_part_disposals,written,1,122,168,199,199
LIST_CGT_REQ_SMALLPARTDISPOSAL_003,Capital gains,requirements,Small part disposals,cloze_list,3,core,Y,small_part_disposals,written,1,122,168,199,199
LIST_CGT_REQ_SMALLPARTDISPOSAL_004,Capital gains,requirements,Small part disposals,cloze_list,3,core,Y,small_part_disposals,written,1,122,168,199,199
LIST_CGT_REQ_BADR_001,Capital gains,requirements,BADR and goodwill,cloze_list,4,core,Y,BADR_and_goodwill,written,2,122,168,199,199
LIST_CGT_REQ_BADR_002,Capital gains,requirements,BADR and EMI,cloze_list,5,core,Y,BADR_and_EMI,written,3,122,168,199,199
LIST_CGT_REQ_BADR_003,Capital gains,requirements,BADR associated disposals,cloze_list,6,core,Y,BADR_associated_disposals,written,4,122,168,199,199
LIST_CGT_FILE_BADR_001,Capital gains,filing_requirements,BADR claim,cloze_list,7,core,Y,BADR_claim,written,5,122,168,199,199
LIST_CGT_REQ_INCORP_001,Capital gains,requirements,Incorporation relief,cloze_list,3,core,Y,incorporation;conditions,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_INCORP_002,Capital gains,requirements,Incorporation relief,cloze_list,3,core,Y,incorporation;conditions,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_INCORP_003,Capital gains,requirements,Incorporation relief,cloze_list,3,core,Y,incorporation;BADR,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_INCORP_004,Capital gains,requirements,Incorporation relief,cloze_list,3,core,Y,incorporation;operation,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_INCORP_005,Capital gains,requirements,Incorporation relief,cloze_list,3,core,Y,incorporation;operation,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_EISRR_001,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,eis;timing,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_EISRR_002,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,eis;claim,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_EISRR_003,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,eis;chargeable_event,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_EISRR_004,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,eis;seis;difference,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_EISRR_005,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,eis;withdrawal,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_EISRR_006,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,seis;timing,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_EISRR_007,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,seis;claim,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_EISRR_008,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,seis;chargeable,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_EISRR_009,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,seis;eis;difference,assistant_generated,1,122,168,199,199
LIST_CGT_REQ_EISRR_010,Capital gains,requirements,EIS/SEIS reinvestment relief,cloze_list,3,core,Y,seis;withdrawal,assistant_generated,1,122,168,199,199
PF_ETH_PF__001,Ethics,proformas,Safeguards,proforma_drag,3,0,Y,0,0,0,122,168,199,199
PF_ITNIC_PF_IR35_001,Income tax & NIC,proformas,IR35 deemed payment calculation,proforma_drag,3,core,Y,ir35;deemed_payment;nic,proforma,1,122,168,199,199
PF_ITNIC_PF_EIS_001,Income tax & NIC,proformas,Tax efficient investments,proforma_drag,3,core,Y,eis;seis;vct,notes,1,122,168,199,199
PF_ITNIC_PF_PSC_001,Income tax & NIC,proformas,Personal service companies and IR35,proforma_drag,3,core,Y,psc;ir35;sds;ddp,notes,1,122,168,199,199
PF_ITNIC_PF_PSC_002,Income tax & NIC,proformas,Personal service companies and IR35,proforma_drag,3,core,Y,psc;ir35;sds;ddp,notes,1,122,168,199,199
PF_ITNIC_PF_ITCOMP_001,Income tax & NIC,proformas,Income tax payable computation (individual),proforma_drag,3,core,Y,it-computation,image-proforma,1,122,168,199,199
